presidency_number,person_id,name,party,age_years,days_at_this_age
1,washington,George Washington,Unaffiliated,57,298
1,washington,George Washington,Unaffiliated,58,365
1,washington,George Washington,Unaffiliated,59,365
1,washington,George Washington,Unaffiliated,60,366
1,washington,George Washington,Unaffiliated,61,365
1,washington,George Washington,Unaffiliated,62,365
1,washington,George Washington,Unaffiliated,63,365
1,washington,George Washington,Unaffiliated,64,366
1,washington,George Washington,Unaffiliated,65,10
2,jadams,John Adams,Federalist,61,240
2,jadams,John Adams,Federalist,62,365
2,jadams,John Adams,Federalist,63,365
2,jadams,John Adams,Federalist,64,365
2,jadams,John Adams,Federalist,65,125
3,jefferson,Thomas Jefferson,Democratic-Republican,57,40
3,jefferson,Thomas Jefferson,Democratic-Republican,58,365
3,jefferson,Thomas Jefferson,Democratic-Republican,59,365
3,jefferson,Thomas Jefferson,Democratic-Republican,60,366
3,jefferson,Thomas Jefferson,Democratic-Republican,61,365
3,jefferson,Thomas Jefferson,Democratic-Republican,62,365
3,jefferson,Thomas Jefferson,Democratic-Republican,63,365
3,jefferson,Thomas Jefferson,Democratic-Republican,64,366
3,jefferson,Thomas Jefferson,Democratic-Republican,65,325
4,madison,James Madison,Democratic-Republican,57,12
4,madison,James Madison,Democratic-Republican,58,365
4,madison,James Madison,Democratic-Republican,59,365
4,madison,James Madison,Democratic-Republican,60,366
4,madison,James Madison,Democratic-Republican,61,365
4,madison,James Madison,Democratic-Republican,62,365
4,madison,James Madison,Democratic-Republican,63,365
4,madison,James Madison,Democratic-Republican,64,366
4,madison,James Madison,Democratic-Republican,65,353
5,monroe,James Monroe,Democratic-Republican,58,55
5,monroe,James Monroe,Democratic-Republican,59,365
5,monroe,James Monroe,Democratic-Republican,60,365
5,monroe,James Monroe,Democratic-Republican,61,366
5,monroe,James Monroe,Democratic-Republican,62,365
5,monroe,James Monroe,Democratic-Republican,63,365
5,monroe,James Monroe,Democratic-Republican,64,365
5,monroe,James Monroe,Democratic-Republican,65,366
5,monroe,James Monroe,Democratic-Republican,66,310
6,jqadams,John Quincy Adams,National Republican,57,129
6,jqadams,John Quincy Adams,National Republican,58,365
6,jqadams,John Quincy Adams,National Republican,59,365
6,jqadams,John Quincy Adams,National Republican,60,366
6,jqadams,John Quincy Adams,National Republican,61,236
7,jackson,Andrew Jackson,Democratic,61,11
7,jackson,Andrew Jackson,Democratic,62,365
7,jackson,Andrew Jackson,Democratic,63,365
7,jackson,Andrew Jackson,Democratic,64,366
7,jackson,Andrew Jackson,Democratic,65,365
7,jackson,Andrew Jackson,Democratic,66,365
7,jackson,Andrew Jackson,Democratic,67,365
7,jackson,Andrew Jackson,Democratic,68,366
7,jackson,Andrew Jackson,Democratic,69,354
8,vanburen,Martin Van Buren,Democratic,54,276
8,vanburen,Martin Van Buren,Democratic,55,365
8,vanburen,Martin Van Buren,Democratic,56,365
8,vanburen,Martin Van Buren,Democratic,57,366
8,vanburen,Martin Van Buren,Democratic,58,89
9,whharrison,William Henry Harrison,Whig,68,31
