age_years,total_days,total_years
42,43,0.118
43,494,1.353
44,730,1.999
45,731,2.001
46,807,2.209
47,1305,3.573
48,2089,5.719
49,2635,7.214
50,2502,6.85
51,3781,10.352
52,4352,11.915
53,3831,10.489
54,4511,12.351
55,4482,12.271
56,4977,13.627
57,5136,14.062
58,5112,13.996
59,4566,12.501
60,3526,9.654
61,3960,10.842
62,4117,11.272
63,3549,9.717
64,3397,9.301
65,2917,7.986
66,2135,5.845
67,1827,5.002
68,1607,4.4
69,1052,2.88
70,608,1.665
71,730,1.999
72,730,1.999
73,732,2.004
74,585,1.602
75,365,0.999
76,365,0.999
77,349,0.956
78,449,1.229
79,730,1.999
80,423,1.158
81,366,1.002
82,61,0.167
