presidency_number,person_id,name,party,birth_date,death_date,term_start,term_end,incumbent,days_in_office,age_at_start_years,age_at_start_days,age_at_start_exact,age_at_end_years,age_at_end_days,age_at_end_exact,note
1,gwashington,George Washington,Unaffiliated,1732-02-22,1799-12-14,1789-04-30,1797-03-04,FALSE,2865,57,67,57.1867,65,10,65.0308,"Office vacant Mar 4 - Apr 30, 1789; government began before the president did"
2,jadams,John Adams,Federalist,1735-10-19,1826-07-04,1797-03-04,1801-03-04,FALSE,1460,61,136,61.3757,65,136,65.373,
3,tjefferson,Thomas Jefferson,Democratic-Republican,1743-04-13,1826-07-04,1801-03-04,1809-03-04,FALSE,2922,57,325,57.8903,65,325,65.8905,
4,jmadison,James Madison,Democratic-Republican,1751-03-16,1836-06-28,1809-03-04,1817-03-04,FALSE,2922,57,353,57.967,65,353,65.9671,
5,jmonroe,James Monroe,Democratic-Republican,1758-04-28,1831-07-04,1817-03-04,1825-03-04,FALSE,2922,58,310,58.8486,66,310,66.8487,
6,jqadams,John Quincy Adams,Democratic-Republican,1767-07-11,1848-02-23,1825-03-04,1829-03-04,FALSE,1461,57,236,57.6466,61,236,61.6467,
7,ajackson,Andrew Jackson,Democratic,1767-03-15,1845-06-08,1829-03-04,1837-03-04,FALSE,2922,61,354,61.9698,69,354,69.97,
8,mvanburen,Martin Van Buren,Democratic,1782-12-05,1862-07-24,1837-03-04,1841-03-04,FALSE,1461,54,89,54.2434,58,89,58.2435,
9,whharrison,William Henry Harrison,Whig,1773-02-09,1841-04-04,1841-03-04,1841-04-04,FALSE,31,68,23,68.0616,68,54,68.1465,Died in office after 31 days; never held office on a July 4
10,jtyler,John Tyler,Whig,1790-03-29,1862-01-18,1841-04-04,1845-03-04,FALSE,1430,51,6,51.0154,54,340,54.9306,Expelled from the Whig Party Sept 1841; unaffiliated thereafter
11,jkpolk,James K. Polk,Democratic,1795-11-02,1849-06-15,1845-03-04,1849-03-04,FALSE,1461,49,122,49.3343,53,122,53.3344,
12,ztaylor,Zachary Taylor,Whig,1784-11-24,1850-07-09,1849-03-04,1850-07-09,FALSE,492,64,100,64.2724,65,227,65.6194,"Legal term began Mar 4; sworn Mar 5 (Mar 4 was a Sunday). Died July 9, 1850, five days after his only July 4 in office"
13,mfillmore,Millard Fillmore,Whig,1800-01-07,1874-03-08,1850-07-09,1853-03-04,FALSE,969,50,183,50.5007,53,56,53.1537,
14,fpierce,Franklin Pierce,Democratic,1804-11-23,1869-10-08,1853-03-04,1857-03-04,FALSE,1461,48,101,48.2775,52,101,52.2776,
15,jbuchanan,James Buchanan,Democratic,1791-04-23,1868-06-01,1857-03-04,1861-03-04,FALSE,1461,65,315,65.8631,69,315,69.8632,
16,alincoln,Abraham Lincoln,Republican,1809-02-12,1865-04-15,1861-03-04,1865-04-15,FALSE,1503,52,20,52.0558,56,62,56.1709,Assassinated in office
17,ajohnson,Andrew Johnson,Democratic,1808-12-29,1875-07-31,1865-04-15,1869-03-04,FALSE,1419,56,107,56.2941,60,65,60.1792,Elected as a Democrat on the National Union ticket
18,usgrant,Ulysses S. Grant,Republican,1822-04-27,1885-07-23,1869-03-04,1877-03-04,FALSE,2922,46,311,46.8538,54,311,54.854,
