sample_date,year,presidency_number,person_id,name,party,age_years,age_days,age_exact,days_into_term,days_remaining_in_term,term_start,term_end
1789-07-04,1789,1,washington,George Washington,Unaffiliated,57,132,57.3646,65,2800,1789-04-30,1797-03-04
1790-07-04,1790,1,washington,George Washington,Unaffiliated,58,132,58.364,430,2435,1789-04-30,1797-03-04
1791-07-04,1791,1,washington,George Washington,Unaffiliated,59,132,59.3633,795,2070,1789-04-30,1797-03-04
1792-07-04,1792,1,washington,George Washington,Unaffiliated,60,133,60.3654,1161,1704,1789-04-30,1797-03-04
1793-07-04,1793,1,washington,George Washington,Unaffiliated,61,132,61.3647,1526,1339,1789-04-30,1797-03-04
1794-07-04,1794,1,washington,George Washington,Unaffiliated,62,132,62.364,1891,974,1789-04-30,1797-03-04
1795-07-04,1795,1,washington,George Washington,Unaffiliated,63,132,63.3634,2256,609,1789-04-30,1797-03-04
1796-07-04,1796,1,washington,George Washington,Unaffiliated,64,133,64.3655,2622,243,1789-04-30,1797-03-04
1797-07-04,1797,2,jadams,John Adams,Federalist,61,247,61.6796,122,1338,1797-03-04,1801-03-04
1798-07-04,1798,2,jadams,John Adams,Federalist,62,247,62.6789,487,973,1797-03-04,1801-03-04
1799-07-04,1799,2,jadams,John Adams,Federalist,63,247,63.6782,852,608,1797-03-04,1801-03-04
1800-07-04,1800,2,jadams,John Adams,Federalist,64,247,64.6776,1217,243,1797-03-04,1801-03-04
1801-07-04,1801,3,jefferson,Thomas Jefferson,Democratic-Republican,58,82,58.2243,122,2800,1801-03-04,1809-03-04
1802-07-04,1802,3,jefferson,Thomas Jefferson,Democratic-Republican,59,82,59.2237,487,2435,1801-03-04,1809-03-04
1803-07-04,1803,3,jefferson,Thomas Jefferson,Democratic-Republican,60,82,60.223,852,2070,1801-03-04,1809-03-04
1804-07-04,1804,3,jefferson,Thomas Jefferson,Democratic-Republican,61,82,61.2251,1218,1704,1801-03-04,1809-03-04
1805-07-04,1805,3,jefferson,Thomas Jefferson,Democratic-Republican,62,82,62.2244,1583,1339,1801-03-04,1809-03-04
1806-07-04,1806,3,jefferson,Thomas Jefferson,Democratic-Republican,63,82,63.2237,1948,974,1801-03-04,1809-03-04
1807-07-04,1807,3,jefferson,Thomas Jefferson,Democratic-Republican,64,82,64.2231,2313,609,1801-03-04,1809-03-04
1808-07-04,1808,3,jefferson,Thomas Jefferson,Democratic-Republican,65,82,65.2252,2679,243,1801-03-04,1809-03-04
1809-07-04,1809,4,madison,James Madison,Democratic-Republican,58,110,58.301,122,2800,1809-03-04,1817-03-04
1810-07-04,1810,4,madison,James Madison,Democratic-Republican,59,110,59.3003,487,2435,1809-03-04,1817-03-04
1811-07-04,1811,4,madison,James Madison,Democratic-Republican,60,110,60.2997,852,2070,1809-03-04,1817-03-04
1812-07-04,1812,4,madison,James Madison,Democratic-Republican,61,110,61.3017,1218,1704,1809-03-04,1817-03-04
1813-07-04,1813,4,madison,James Madison,Democratic-Republican,62,110,62.3011,1583,1339,1809-03-04,1817-03-04
1814-07-04,1814,4,madison,James Madison,Democratic-Republican,63,110,63.3004,1948,974,1809-03-04,1817-03-04
1815-07-04,1815,4,madison,James Madison,Democratic-Republican,64,110,64.2997,2313,609,1809-03-04,1817-03-04
1816-07-04,1816,4,madison,James Madison,Democratic-Republican,65,110,65.3018,2679,243,1809-03-04,1817-03-04
1817-07-04,1817,5,monroe,James Monroe,Democratic-Republican,59,67,59.1826,122,2800,1817-03-04,1825-03-04
1818-07-04,1818,5,monroe,James Monroe,Democratic-Republican,60,67,60.1819,487,2435,1817-03-04,1825-03-04
1819-07-04,1819,5,monroe,James Monroe,Democratic-Republican,61,67,61.1813,852,2070,1817-03-04,1825-03-04
1820-07-04,1820,5,monroe,James Monroe,Democratic-Republican,62,67,62.1833,1218,1704,1817-03-04,1825-03-04
1821-07-04,1821,5,monroe,James Monroe,Democratic-Republican,63,67,63.1827,1583,1339,1817-03-04,1825-03-04
1822-07-04,1822,5,monroe,James Monroe,Democratic-Republican,64,67,64.182,1948,974,1817-03-04,1825-03-04
1823-07-04,1823,5,monroe,James Monroe,Democratic-Republican,65,67,65.1814,2313,609,1817-03-04,1825-03-04
1824-07-04,1824,5,monroe,James Monroe,Democratic-Republican,66,67,66.1834,2679,243,1817-03-04,1825-03-04
1825-07-04,1825,6,jqadams,John Quincy Adams,National Republican,57,358,57.9807,122,1339,1825-03-04,1829-03-04
1826-07-04,1826,6,jqadams,John Quincy Adams,National Republican,58,358,58.98,487,974,1825-03-04,1829-03-04
1827-07-04,1827,6,jqadams,John Quincy Adams,National Republican,59,358,59.9793,852,609,1825-03-04,1829-03-04
1828-07-04,1828,6,jqadams,John Quincy Adams,National Republican,60,359,60.9814,1218,243,1825-03-04,1829-03-04
1829-07-04,1829,7,jackson,Andrew Jackson,Democratic,62,111,62.3038,122,2800,1829-03-04,1837-03-04
1830-07-04,1830,7,jackson,Andrew Jackson,Democratic,63,111,63.3031,487,2435,1829-03-04,1837-03-04
